N,M,Result
152,66,13
424,28,177
996,25,106
958,89,636
618,28,473
540,76,510
972,59,140
129,1,129
584,44,215
962,84,957
951,88,496
633,9,286
279,81,197
792,52,454
653,81,40
89,88,62
805,100,246
273,44,93
81,57,12
581,59,37
417,52,235
967,44,281
214,80,135
152,31,95
287,94,107
23,14,9
13,5,6
976,68,750
599,41,298
704,25,434
992,30,696
565,57,334
319,57,107
812,61,780
128,47,86
344,19,257
894,5,233
948,51,261
670,82,316
937,63,676
654,99,274
700,7,55
939,78,458
639,22,150
285,75,148
973,40,665
456,43,207
780,35,427
424,22,181
173,24,16
458,33,367
416,33,283
921,80,482
72,65,54
78,52,38
800,11,141
278,43,127
666,73,26
95,77,88
181,2,107
586,2,149
694,56,688
565,93,330
806,32,773
649,82,570
901,28,109
70,28,3
200,52,159
986,20,615
498,38,305
990,9,239
91,72,39
146,2,37
287,4,277
969,4,199
136,78,134
8,2,1
339,32,243
202,40,135
898,99,563
584,65,235
173,11,23
700,79,449
807,86,534
414,92,82
341,42,5
550,72,402
851,23,569
351,96,25
949,60,648
890,33,333
858,92,704
289,72,225
467,5,167
984,100,268
462,52,386
609,38,91
264,65,66
592,76,521
620,12,451
578,75,73
114,100,24
956,32,318
60,52,5
493,25,441
819,56,145
851,74,209
250,62,72
534,52,154
217,12,148
619,20,343
629,21,535
193,35,84
36,12,7
908,61,652
340,96,12
349,34,278
256,69,76
824,23,775
394,35,1
559,15,163
710,67,671
829,90,354
896,49,266
247,96,142
804,22,136
375,70,367
638,24,455
559,85,84
831,63,185
274,13,64
9,5,8
32,16,7
813,31,559
506,96,486
207,100,73
12,6,3
571,13,228
959,24,270
846,13,259
585,53,494
375,15,193
107,45,83
497,27,323
677,46,487
692,34,488
663,77,136
805,2,587
130,9,3
121,74,18
829,56,705
133,72,57
630,13,395
296,24,205
869,76,730
404,1,404
790,38,711
699,7,48
173,60,96
359,19,193
143,58,97
183,52,42
516,44,510
904,96,305
475,43,89
114,19,43
154,4,127
219,46,95
486,62,53
221,19,129
888,65,365
61,3,44
857,78,352
528,32,343
237,67,18
212,41,105
658,46,280
390,64,278
521,48,391
389,58,36
190,93,180
623,52,137
952,47,771
26,13,1
986,44,134
841,21,674
807,13,579
929,43,627
414,30,392
843,58,441
391,95,262
222,57,200
629,95,349
14,10,12
222,33,68
897,75,760
656,70,525
550,36,479
852,62,521
753,75,617
358,16,166
6,6,4
591,6,238
965,17,811
718,15,655
77,48,15
641,63,5
27,26,12
726,10,17
261,36,118
949,24,30
598,24,115
801,10,767
113,21,85
178,57,79
543,26,274
472,89,30
755,62,137
34,28,14
46,45,21
714,91,551
573,80,470
144,98,144
190,93,180
546,22,467
607,50,596
704,90,568
168,13,24
489,43,206
896,16,596
268,58,188
197,33,85
666,69,469
463,54,286
509,24,210
929,81,392
815,16,159
611,86,544
473,75,99
58,12,35
143,16,39
363,76,361
58,35,8
639,57,345
417,69,278
974,28,257
445,43,186
400,82,192
238,74,168
163,72,153
309,60,304
878,88,471
237,18,35
126,2,125
908,16,788
785,50,552
298,57,148
90,36,70
47,7,30
634,63,205
687,2,351
948,84,732
372,87,62
727,55,509
868,11,23
571,63,449
593,80,324
564,31,306
331,47,245
568,47,463
944,79,95
463,11,208
437,68,252
333,25,99
985,33,658
137,26,63
693,83,167
234,6,76
787,67,620
712,74,106
587,8,116
389,73,37
795,7,720
536,92,432
264,23,96
259,23,241
924,96,394
263,98,147
36,21,17
521,60,15
